學校代碼	學校名稱	科系代碼	科系名稱	日間∕進修別	等級別	學生數	教師數	上學年度畢業生數	縣市名稱	體系別
195	0002	國立清華大學	420103	生命科學系	D 日	B 學士	218	5	52	18 新竹市	1 一般
196	0002	國立清華大學	420302	(自然)生物科技學系	D 日	D 博士	55	0	8	18 新竹市	1 一般
197	0002	國立清華大學	420302	(自然)生物科技學系	D 日	M 碩士	65	9	25	18 新竹市	1 一般
198	0002	國立清華大學	420313	分子(生物)及細胞生物研究所	D 日	D 博士	33	0	6	18 新竹市	1 一般
199	0002	國立清華大學	420313	分子(生物)及細胞生物研究所	D 日	M 碩士	36	11	16	18 新竹市	1 一般
200	0002	國立清華大學	420327	生技產業學位學程	D 日	D 博士	5	0	0	18 新竹市	1 一般
201	0002	國立清華大學	420605	生物資訊與結構生物研究所	D 日	D 博士	69	0	8	18 新竹市	1 一般
202	0002	國立清華大學	420605	生物資訊與結構生物研究所	D 日	M 碩士	48	10	24	18 新竹市	1 一般
203	0002	國立清華大學	429903	生命科學院(不分系)	D 日	B 學士	121	0	26	18 新竹市	1 一般
204	0002	國立清華大學	429904	系統神經科學研究所	D 日	M 碩士	25	6	13	18 新竹市	1 一般
205	0002	國立清華大學	440101	化學系	D 日	D 博士	172	0	24	18 新竹市	1 一般
206	0002	國立清華大學	440101	化學系	D 日	M 碩士	183	0	61	18 新竹市	1 一般
207	0002	國立清華大學	440101	化學系	D 日	B 學士	288	27	71	18 新竹市	1 一般
208	0002	國立清華大學	440301	物理學系	D 日	D 博士	55	0	14	18 新竹市	1 一般
209	0002	國立清華大學	440301	物理學系	D 日	M 碩士	141	0	47	18 新竹市	1 一般
210	0002	國立清華大學	440301	物理學系	D 日	B 學士	292	31	58	18 新竹市	1 一般
211	0002	國立清華大學	440601	天文(物理)研究所	D 日	D 博士	12	0	1	18 新竹市	1 一般
212	0002	國立清華大學	440601	天文(物理)研究所	D 日	M 碩士	9	7	4	18 新竹市	1 一般
213	0002	國立清華大學	449905	先進光源科技學位學程	D 日	D 博士	1	0	3	18 新竹市	1 一般
214	0002	國立清華大學	449905	先進光源科技學位學程	D 日	M 碩士	14	0	6	18 新竹市	1 一般
215	0002	國立清華大學	449999	理學院(不分系)	D 日	B 學士	104	0	23	18 新竹市	1 一般
216	0002	國立清華大學	460101	數學系	D 日	D 博士	19	0	0	18 新竹市	1 一般
217	0002	國立清華大學	460101	數學系	D 日	M 碩士	59	0	16	18 新竹市	1 一般
218	0002	國立清華大學	460101	數學系	D 日	B 學士	243	22	53	18 新竹市	1 一般
219	0002	國立清華大學	460201	統計(科學)(資訊)學系	D 日	D 博士	10	0	2	18 新竹市	1 一般
220	0002	國立清華大學	460201	統計(科學)(資訊)學系	D 日	M 碩士	51	9	22	18 新竹市	1 一般
221	0002	國立清華大學	480401	資訊系統與應用研究所	D 日	D 博士	21	0	2	18 新竹市	1 一般
222	0002	國立清華大學	480401	資訊系統與應用研究所	D 日	M 碩士	110	0	39	18 新竹市	1 一般
223	0002	國立清華大學	520101	電機(與控制)工程學系	D 日	D 博士	80	0	6	18 新竹市	1 一般
224	0002	國立清華大學	520101	電機(與控制)工程學系	D 日	M 碩士	373	0	113	18 新竹市	1 一般
225	0002	國立清華大學	520101	電機(與控制)工程學系	D 日	B 學士	435	65	99	18 新竹市	1 一般
226	0002	國立清華大學	520103	(微)電子(工程)學系	D 日	D 博士	53	0	10	18 新竹市	1 一般
227	0002	國立清華大學	520103	(微)電子(工程)學系	D 日	M 碩士	183	0	60	18 新竹市	1 一般
228	0002	國立清華大學	520105	光電(技術)學系	D 日	D 博士	1	0	0	18 新竹市	1 一般
229	0002	國立清華大學	520106	光電(科學與)工程學系	D 日	D 博士	30	0	7	18 新竹市	1 一般
230	0002	國立清華大學	520106	光電(科學與)工程學系	D 日	M 碩士	121	0	42	18 新竹市	1 一般
231	0002	國立清華大學	520114	資訊工程學系	D 日	D 博士	72	0	10	18 新竹市	1 一般
232	0002	國立清華大學	520114	資訊工程學系	D 日	M 碩士	353	0	152	18 新竹市	1 一般
233	0002	國立清華大學	520114	資訊工程學系	D 日	B 學士	565	43	117	18 新竹市	1 一般
234	0002	國立清華大學	520126	(光電與)通訊(工程)學系	D 日	D 博士	16	0	5	18 新竹市	1 一般
235	0002	國立清華大學	520126	(光電與)通訊(工程)學系	D 日	M 碩士	129	0	43	18 新竹市	1 一般
236	0002	國立清華大學	520178	社群網路與人智計算學位學程	D 日	D 博士	11	0	0	18 新竹市	1 一般
237	0002	國立清華大學	520188	電資類產業研發專班	D 日	M 碩士	7	0	0	18 新竹市	1 一般
238	0002	國立清華大學	520196	電機(資訊)學院	D 日	B 學士	115	0	19	18 新竹市	1 一般
239	0002	國立清華大學	520201	(動力)機械工程學系	D 日	D 博士	97	0	16	18 新竹市	1 一般
240	0002	國立清華大學	520201	(動力)機械工程學系	D 日	M 碩士	277	0	120	18 新竹市	1 一般
241	0002	國立清華大學	520201	(動力)機械工程學系	D 日	B 學士	459	44	101	18 新竹市	1 一般
242	0002	國立清華大學	520401	化學工程學系	D 日	D 博士	111	0	14	18 新竹市	1 一般
243	0002	國立清華大學	520401	化學工程學系	D 日	M 碩士	154	0	69	18 新竹市	1 一般
244	0002	國立清華大學	520401	化學工程學系	D 日	B 學士	228	23	57	18 新竹市	1 一般
245	0002	國立清華大學	520502	材料科學(與)(工程)學系	D 日	D 博士	165	0	32	18 新竹市	1 一般
246	0002	國立清華大學	520502	材料科學(與)(工程)學系	D 日	M 碩士	233	0	101	18 新竹市	1 一般
247	0002	國立清華大學	520502	材料科學(與)(工程)學系	D 日	B 學士	417	34	103	18 新竹市	1 一般
248	0002	國立清華大學	520518	奈米工程與微系統研究所	D 日	D 博士	48	0	9	18 新竹市	1 一般
249	0002	國立清華大學	520518	奈米工程與微系統研究所	D 日	M 碩士	58	0	25	18 新竹市	1 一般
250	0002	國立清華大學	520601	工業工程(與)(科技)(系統)(工程)(管理)學系	D 日	D 博士	49	0	9	18 新竹市	1 一般
251	0002	國立清華大學	520601	工業工程(與)(科技)(系統)(工程)(管理)學系	D 日	M 碩士	195	0	85	18 新竹市	1 一般
252	0002	國立清華大學	520601	工業工程(與)(科技)(系統)(工程)(管理)學系	D 日	B 學士	271	20	69	18 新竹市	1 一般
253	0002	國立清華大學	520601	工業工程(與)(科技)(系統)(工程)(管理)學系	N 職	M 碩士	114	0	21	18 新竹市	1 一般
254	0002	國立清華大學	521104	生醫工程與環境科學系	D 日	D 博士	52	0	7	18 新竹市	1 一般
255	0002	國立清華大學	521104	生醫工程與環境科學系	D 日	M 碩士	99	0	39	18 新竹市	1 一般
256	0002	國立清華大學	521104	生醫工程與環境科學系	D 日	B 學士	190	19	45	18 新竹市	1 一般
257	0002	國立清華大學	521108	生物醫學工程學系	D 日	M 碩士	32	6	15	18 新竹市	1 一般
258	0002	國立清華大學	521201	工程與系統科學系	D 日	D 博士	111	0	19	18 新竹市	1 一般
259	0002	國立清華大學	521201	工程與系統科學系	D 日	M 碩士	168	0	67	18 新竹市	1 一般
260	0002	國立清華大學	521201	工程與系統科學系	D 日	B 學士	424	25	94	18 新竹市	1 一般
261	0002	國立清華大學	521202	核子工程與科學研究所	D 日	D 博士	33	0	5	18 新竹市	1 一般
262	0002	國立清華大學	521202	核子工程與科學研究所	D 日	M 碩士	39	8	28	18 新竹市	1 一般
263	0002	國立清華大學	521399	原子科學院(不分系)	D 日	B 學士	76	0	17	18 新竹市	1 一般
